airline_sentiment,text
negative,@AmericanAir If the flight I selected online was what was ticketed I would not be missing my connection. I need help getting to DFW or IAH!!
neutral,@AmericanAir at the gate when I get off the plane?
neutral,@JetBlue ...and when did your legal department start running your social media channels?
negative,@united The first time I flew United was horrible thought I would give you a second chance. There will NOT be a third! #disgruntled
neutral,@SouthwestAir my birthday is February 24th which is the date of the imagine dragons in flight concert btw
positive,Why “@JetBlue: Our fleet's on fleek. http://t.co/a7NvbJ8ipx”
negative,@JetBlue flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago
negative,@USAirways in line for 90 min after mechanical issues caused me to miss my flight. 1 rep for 20 upset people. http://t.co/XFWXsRwkHa
negative,@USAirways is the worst airline I’ve ever flown on. You guys have treated me like garbage today.
negative,@USAirways seems to be the only airline without a dedicated line for status members
positive,@AmericanAir I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃
negative,@AmericanAir I have a ticket that has been pending for 4 days. Is it normal to take that long?? I want to make sure there isn't a problem.
positive,"@JetBlue yup we know, not your fault, just not ideal sittin for over an hour but as always your staff is great!"
neutral,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.
negative,@AmericanAir I had to purchase a ticket that I never would have had to buy had the flight not been Cancelled Flightled. Terrible customer service.
positive,@AmericanAir great flight experience again... SFO-JFK... Dare I say it? A consistent high quality on a legacy airline? Keep it up guys!
negative,@SouthwestAir your app repeatedly crashed and failed to display my name when checking in. Was unable to use app. http://t.co/0kN7PjelZL
neutral,@JetBlue  I'm game if you're buying!!  ;)
neutral,@SouthwestAir trying to get to Mexico in September! How about affordable nonstop flights????
negative,@SouthwestAir yeah they told me it would be on the next flight. I drove down and it wasnt. I just drove down for a second time and they were
negative,@united trying to book flight w/miles. Was on hold for 50m before I gave up. Need to get 6 on same flight using two diff # and pay 4 1tix
positive,@SouthwestAir you should know the crew today on flight #1071 AUS to PDX was awesome! #SWA
negative,@united Miserable trip ... lost bag Sat... found Mon... lost again... shipping 2nd day ground Tues... might have it for return flight home
positive,@SouthwestAir @FortuneMagazine friendliest employees
positive,@SouthwestAir the new logo is going to look amazing on the airplanes
negative,@SouthwestAir do you know that your lost baggage portal http://t.co/hUcLXluV5h doesn't work on mobile? It's a 404 http://t.co/O4ZR27Qpcr
neutral,"@USAirways Hi, can you attach my AA FF# 94LXA62 to reservation E2KVM4. Thansk!"
negative,@SouthwestAir Seriously? FOUR DELAYS? Only takes 42 minutes to get to Vegas from @flyLAXairport &amp; I have a connecting flight. #ridiculous
positive,@SouthwestAir yes please!
neutral,@USAirways can I check bags through to my final destination even though I bought separate tickets from IAD to PHL  and PHL to Israel?
negative,"@AmericanAir your definition and mine of 10 min is vastly different. I understand the need to get off the plane for maint, but be honest."
negative,@AmericanAir then taxi across dfw airport for 20 min to then state 75 min past departing from gate that we need deiced? Wow. Uncool &amp; untrue
neutral,@AmericanAir do you guys have wifi on international flights?
negative,@united its 2015 and no power outlets at the seats on a 6 hour flight to California? Seriously? This is why airlines are failing!! Pathetic!
positive,@SouthwestAir :arrived in San Juan early. Thanks for a great flight. LUV u!
positive,@JetBlue thanks. I will use the extra time to do some more shopping! Did somebody say duty free?
negative,"@AmericanAir  when do you anticipate decisions for Cancelled Flightlations at DFW tomorrow morning? Need to rearrange hotel reservations, etc. ASAP!"
negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative,"@USAirways after a grt flight to PHX last week,  tonight was terrible. 2.5 hours taxing and you give us water and crackers to compensate."
negative,@USAirways still on hold...1 hr 27 mins....thank god for chairman status. status match @Delta?
neutral,@SouthwestAir would you be willing to help me surprise my bestfriend with tickets to go see @Imaginedragons? #DestinationDragons Gracias!
positive,@VirginAmerica thanks so much!
negative,"@united flight UA1459 sitting at newark waiting for a gate, seriously??? #threehoursLate Flight"
positive,"@USAirways - thanks, I hope so. Maybe you can put in a good word for me? ;-)"
neutral,@united it's cool. I didn't need to go to work today. Or get home to make sure my house is ok in the -30 wind chill.
neutral,@JetBlue Airways Receives New Coverage from Analysts at Bank of America (JBLU) - The Legacy http://t.co/dORuxBqla1
negative,@SouthwestAir Apparently mechanics had to be flown in to fix some planes...not the most assuring sign
negative,@AmericanAir I really wanted to sign up for your airline credit card but your absurd $400 change fee to switch my flight made me think twice
neutral,"@SouthwestAir left behind iPad Air on flight 505 from Bradley to BWI, plane had already left by the time I realized. Can you possibly help?"
positive,"alright @JetBlue.... done! alternatively, if you'd like to charter a private jet for me to PITT i will gladly accept :)"
negative,@SouthwestAir #worstthingever 2days Late Flightr our lost bag was fedexed somewhere. Do you know where cause we don't &amp; it was delivered somewhere
neutral,@united what happened to flight status map? It was so cool..
positive,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!
negative,@USAirways why are you letting us go to the runway if there are mechanical problems. #wewantcomps
negative,@USAirways US 728/Feb 21. Arrive 7 hrs Late Flight; checked car seat missing. No replacement available. Has yet to arrive more than 24 hours Late Flightr.
negative,@united your customer service is lacking and you owe me a @GoPro camera. I also appreciate not being interrupted every time I speak Thanks
negative,"@USAirways yes, but we were answered and put back on hold while they were to check on our request..  50 mins Late Flightr nothing!"
positive,@SouthwestAir 👏👏👏 on that Late Flightst ad. Makes me happy to be flying you in a few days. #BETHonors
neutral,@JetBlue 1951 BOS to ORD
negative,@united that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed
negative,@SouthwestAir Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling? Your phone lines are super busy.
negative,@AmericanAir ....I am on attempt #6 and hour #10 of calling and being put on hold.  Not feeling confident that I will ever get through...
neutral,@SouthwestAir Airline trouble &amp; not getting satisfactory customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!
positive,@JetBlue thanks for help. Can't wait to travel with! And get out of the snow.
negative,@JetBlue I would like to send an email to Lost and Found at JetBlue JFK; I spoke to them this morning but cannot drive their today.
negative,"@AmericanAir I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned."
negative,@united flight Cancelled Flightled to Denver service agent offered me a non jet salt lake to Denver or red eye out of Atlanta then hung up on me.
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/1incNCaV4n” - wow
positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
negative,@AmericanAir I have filed multiple complaints. I prefer to continue warning the public instead of wasting more time with this inhumane corp.
negative,"@AmericanAir Will it be this year, do you think?"
positive,@VirginAmerica plus you've added commercials to the experience... tacky.
negative,"@AmericanAir thanks, but I had to hire a car in Chicago and drive to MKE. Does that mean I have to go to the airport?????"
negative,"@SouthwestAir Flight was Cancelled Flighted, I've been on hold for 50 minutes with no human interaction. I wanna get away."
negative,@SouthwestAir Wasn't able to sit in my seat since the guy next to me was using it. #worstflightever #ideserveareward http://t.co/l7hSnLgie2
neutral,@SouthwestAir I would sell my nonexistent soul to go see #DestinationDragons
neutral,"@AmericanAir I have a couple questions for you, if you’re available for PM?"
negative,@AmericanAir it's been almost 3 days and it's still frozen. Thanks doll 😘😑
negative,@united spends 20 minutes beating up a lady about her bag fees.  Random stranger comes up and pays the fee.  #Randomactsofcorporategreed
negative,"@united I was abused , threatened and forced to travel in a lower cabine (last seat) in yesterday's flight from Houston to Sao Paulo"
negative,@SouthwestAir Have been on hold to reschedule a flight for 1.5 hours! Please help! Phone will be out of batteries soon.
negative,@united final destination was booked through United but with quantas. United has not yet contacted Auckland. I am unaware of case ID number
positive,"@JetBlue good to know, thanks so much!"
negative,@SouthwestAir injured at check in yesterday. U told me to go to dr. on hold with SWA for over hour trying to talk with someone. suggestions?
negative,@united that I would get on early enough to not have to green tag. but no go. if not for Otis I would be still sitting at ORD
negative,"@united God damn fucking crew won't be here till 6:40, so you've known for over an hour and a half the flight time was bullshit."
negative,@USAirways issues are not with people who r nice or storm emails with wrong phone numbers auto rebooked flights to non connecting cities
negative,@united we are the airline that has Cancelled Flightled flights TOMORROW to the NYC area
neutral,Just sent thank u RT @united: @goodenufmother Please DM your confirmation number if reFlight Booking Problems is needed. Thank you. ^EY
neutral,@united it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.
negative,"@AmericanAir I shared my experience several times (AA Ref#1-2990176298), but AA's response is senseless, weather was not the cause!!!"
negative,"@united Your new mileage policy is awful. Before, I might have paid slightly more for United because of miles. Now there's no difference."
negative,"@united if you're going to Cancelled Flight flights today, do everyone a favor and get on it now. Don't stall the inevitable."
negative,@USAirways ever think about hiring more agents? Come on now. Don't you think 4 hour holds is a little ridiculous? Get a clue
negative,@SouthwestAir    Promotion e-mail today (Vegas and Jamaica) has a defective link for the Vegas sweepstakes...it times out with error.
negative,@USAirways no online clearly states I can NOT- It says to call res. I already explained that.
neutral,"More like BaeJet Airways, amirite?

“@JetBlue: @terrybrokebad Right back at ya!”"
neutral,@united Why have airlines always told us they can't open a cabin door once it has been closed?  This plane has done it 3 times tonight.
negative,@JetBlue My bag is missing from 1099 landed over 6 hours ago. Help!
positive,@JetBlue thank you for always have the most amazing customer service! Bring on The Disney Princess Half Marathon
positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
neutral,@united what would it cost
positive,@SouthwestAir All good... beers and #oscars2015 ar #DIA
negative,@JetBlue Gnight checked in at POS &amp; supervisor was unaware of policy. That sucked having to guide him to the internet. He was v unfriendly
neutral,@united on the plane. I was thoughtful enough to ask for it and got it; there are prob others that also deserved it
negative,@united I'd rather spend two days in the back seat of a Volkswagen than two hours on your plane! #disgruntled #whatacluster
negative,@united can you DM me? Been on hold with customer service very long time (53 min +) and getting the run-around. Thanks.
negative,@AmericanAir you Cancelled Flight both flights yesterday and rebook me in middle seat. Not acceptable. Upgrade to emergency row would help. #nothappy
neutral,@united @paigeworthy : page United values your tweet b/c it's so rare that they receive tweets complimenting their service...most are fake.
positive,@USAirways 1917. Thanks for the 5 hour layover in LA too👍 Icing on the cake. At least your staff was courteous and helpful.. Not #unreal
positive,@united thank you! 😊
positive,"@JetBlue flight from JFK-SFO was pure awesomeness. Mint Class and Tim our attendant was the best! Other airlines, take notes!"
negative,"@AmericanAir  I was told it would be emailed to me, but I haven't received anything yet. How can I follow-up?"
negative,@AmericanAir are you a bot? Haha always same lies from you!
negative,@USAirways i have been trying ALL WEEK to book a multi city award trip (can't book online) I'm told to call back some other time. What?!?
neutral,@united Done and done
negative,@JetBlue Do your TrueBlue pages not work on Chrome or Safari? I keep getting blank pages when I lick on the TrueBlue tab on your site.
negative,"@USAirways thanx but this isn't my first rodeo. Done &amp; done yesterday. No results or comm, unless u count status: bags lost &amp; claim filed."
negative,.@united what link? Those are all the email offers u sent me in a year to buy/transfer miles.The last 1 just expired http://t.co/ZZPs5ywVE2
positive,@united Sure did! Only waited about 15min. Yay!
negative,@united this is besides the fact that one week ago you delayed me by 18 hours. i am not impressed at all.
neutral,@JetBlue  I would go back to Aruba. I flew out of JFK. #bestplanesever #bestflightever
negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
neutral,@AmericanAir what's the status of flights for Tuesday out of Dallas??
negative,@SouthwestAir I am completely displeased with the service I received on yesterday flying from LGA to ATL.
negative,@USAirways nothing important to do.  Why was I told to wait in the @AmericanAir line?  #patiencerunningout
positive,"@AmericanAir gotta love those skycaps, solving problems faster than anyone else in the terminal. And they did it with a smile on their face"
negative,"@AmericanAir delivered mom's delayed bag to the wrong place. 2 hrs on hold yesterday, &gt;1 hr today. Still no bag. #AA http://t.co/QKkJdFObOS"
neutral,"@JetBlue ....you haven't got me just yet

Can a 1 way LAX-NYC cost me under 190?"
neutral,.@united For those playing along at home: http://t.co/2b4bDTldX2
negative,@united we rebooked and disappointed we have to wait a whole day to start our vacation. At these fares United should have top notch service
neutral,@united done as requested.
negative,@united how is it tripitPro has accurate delayed dept. times and 2hours Late Flightr I hear the same from you? Just curious
negative,"@united yes, but they still don't know where it is.  I've been told it might be on a flight, but now no one can confirm it."
negative,@SouthwestAir yall have me sleeping in the airport until 4pm tomorrow! thanks
negative,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice."
negative,@united had a different fiasco on my outward trip and was rebooked on to qantas lax-Syd. No FF miles show up in my account for that :(
negative,@united Trying to change a flight booked just 6 hours ago but online system is charging me $200 fee per passenger... could you please help?
negative,@AmericanAir I'm trying to make a reservation with a &lt; 2 year old lap child. Don't see any option online. How do I proceed with reservation?
negative,@USAirways would help if you flew bigger planes into TLH. All my team mates made it to the training but me.
negative,@USAirways rebooked for Tuesday. Arriving too Late Flight for on Tuesday to start the class. Cancelled Flightled the trip.
neutral,"@JetBlue Flight 152 (N559JB) ""Here's Looking at Blue Kid"" departs @MCO enroute to @BostonLogan http://t.co/qeaDA92MW6"
positive,@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ
positive,@JetBlue That makes two of us! Lol #Blushing
negative,"@SouthwestAir Promotion also said two free round trip flights. Nope, had to pay $200 extra for chi to Vegas. Bait&amp;switch."
negative,@USAirways is setting themselves up for a lawsuit. No way we should sit on a plane for an hour and a half.
negative,@united I work in customer support- extremely saddened United won't waive change fee for flights I had to Cancelled Flight due to east coast storms.
neutral,@JetBlue How do I know if my flight was deemed a dark flight?
neutral,@USAirways unfortunately not. I think I watched it take off from the bus. Rebooked for a Late Flightr flight now #planestrainsandautomobiles
neutral,@VirginAmerica you should have 39 dollar LAX-Las fares!!!
positive,@JetBlue THANK YOU! I am your new big fan :)
negative,@USAirways I'm glad too. But I should not have to spend an hour to try and track down the basic information that you already have available.
negative,@USAirways you have most likely lost my business. Terrible experience! Too many times stuck on Tarmac and last min Cancelled Flightled flights. #Done
negative,@SouthwestAir I fly SWA a lot - ALWAYS purchase EB and NEVER past A30... Rethinking the SWA process.  Very misleading.
negative,@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!
neutral,@united Do you have any flights with lie flat seating from STL to PDX around the date of March 5?
neutral,@SouthwestAir for my travel I see bz class and get away are sld out. Anytime is available . How do I know how many anytime are available?
negative,@JetBlue waiting for a flight to FL for 1/2 marathon tmrw 4 charity. U bumped us 2a Late Flightr flight &amp; then Cancelled FlightLED IT. How can you fix this?
neutral,@AmericanAir where do I look for cabin crew vacancies?
negative,@AmericanAir how hard is it to have catering ready to go?
negative,@JetBlue all they said was delayed due to mechanical issues. I'm looking for something a little more specific.
neutral,@AmericanAir a guy try right...
negative,@USAirways flight 413 my carryon is missing.stollen off plane or left at gate. Worst customer service. Doesn't seem to be anyone's concern.
negative,@united Just checking in again - what is the status of our claim.   It is going on 2 months with no attention to this?   We are very upset.
neutral,"@united do u serve peanuts/nuts on yr flights yr policies r confusing contradictory advice Pls help #Anaphylaxis,will u ask those 2 refrain?"
negative,@united Learn to hold connections. They texted me there is another flight Late Flightr - my connection hasn't left and were pulling into the gate
negative,"@united there was 20 min to departure, no one waiting. On being pressed ground staffer threatened ""do you want to get to SF today"" #fail"
negative,"@USAirways flight 1777 has been waiting for 30 minutes at RSW waiting for weight balance clearance. Come on, let us leave!"
positive,@SouthwestAir shout out to the flight #4386 crew for taking amazing care of us on our double down flight! #thankyou
negative,@USAirways Still irritated that our well planned and booked return was messed with &amp; with no warning.
negative,@united UA1534 has now had 11 different departure times. Wtf. Make up your mind.
negative,@southwestair Grand total from landing to getting bag: one hour. That's very sad.
neutral,@virginamerica spruce moose!
neutral,"@SouthwestAir sure, please follow me so I can do so?"
negative,@USAirways I need to speak with a live person. I've had it with the recordings. I was told on Sat that we'd have our luggage by yest.
negative,@usairways app is the worst one for airlines. Can't do anything once your original flight time has gone by. Useless.
negative,"@SouthwestAir its cool that my bags take a bit longer, dont give me baggage blue balls-turn the carousel on, tell me it's coming, then not."
negative,@united In the process of recovering their car rental - condo rental $ in Florida. They called #United for an alternate flight #NOANSWER
neutral,"@JetBlue.  Punta Cana, to enjoy weather n see my wifes family"
negative,@SouthwestAir @PoteetTJ had to fly @Delta MCO-&gt;CMH for $400 b/c we cldnt reach SWA to reroute SWA 3104 Cancelled Flightlation. Voucher wld help.
neutral,@SouthwestAir planning a family trip to Orlando in May and trying to figure out when to book to get the best rate. Any Suggestions?
negative,@SouthwestAir I'm trying to change a family vacation due to Measles outbreak and haven't been able to get anyone on the phone. Any help?
negative,@USAirways you're really fudgin up with all these delays 😡 #justwantmybed
negative,"@Usairways need to learn operations. Sit a plane overnight at #gsp, and not realize there's a mech problem. Then delay flight 3 1/2 hours!"
neutral,@JetBlue okayyyy. But I had huge irons on way out. Promise no shenanigans?
negative,@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s
positive,@USAirways that's where we are now. Thank you.
negative,@united it is too Late Flight for reFlight Booking Problems now - it is morning already and I no longer need a hotel room
negative,"@united booked a flight yesterday, appeared in my account + confirm email but since a few hours all disappeared and err ""no segment in this"""
positive,@AmericanAir thanks. Delivery status??
negative,"@USAirways @AmericanAir Suggestions , been on hold 2 hrs for flight that is now about to pass departure...Dealing w ny weather, need change"
neutral,@USAirways can you help chairman? I am on flight 686 PHX connect 599 SJC will miss connection can you reroute please.
negative,@USAirways @stephenrodrick Your team needs to build capacity
negative,@USAirways horrible experience to key west lost luggage called to check &amp; was told not to call back reconsidering my flight back
negative,@SouthwestAir this is ridiculous. It's been 2 hours on hold to rebook Cancelled Flightled flight.
negative,@AmericanAir I was just called abt my flight Cancelled Flightlation- a flight that was Cancelled Flightled at 10:30a Sunday. Two 4:00a calls are not okay.
negative,@AmericanAir half hour Late Flight leaving DFW...no attempt at an explanation
negative,@JetBlue I'm trying to add my 2012 flights to my Badges account but i don't see an option. Help plz?
negative,@USAirways US 728 stated their issues as: no one around to close said door. More strange. Now we're not hearing from pilot for long periods.
negative,"@USAirways The airline is embarrassing itself. I get that bad weather isn't your fault, but your response to it couldn't have been worse."
positive,@united just confirmed a seat! Crisis averted! Beers won't be missed now
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/ar0VayLmFc” Really Jet Blue? Lmao
negative,@JetBlue just learning about your famous apology in social media marketing. Is Twitter an asset for Jet Blue now? @PhD_Mama_
neutral,"@SouthwestAir Just reading your boarding policy, we're a group of 8 travellers with kids ranging from 3-10, is it possible to sit together?"
neutral,"@SouthwestAir Times change, I guess. http://t.co/osox9h7fWY"
negative,@JetBlue False - agent let us do an extra leg room upgrade for $ but not upgrade to mint. Poor business practices. #badcustomerservice
neutral,@united you know what would be awesome? Providing us with complimentary entertainment on your flights. Especially those longer than 6 hours.
negative,"@SouthwestAir so for an extra luggage, it cost $75????"
negative,"@USAirways your rude staff said"" I don't care that we are out of market place food you're going on vacation and I have to work"" nice huh"
positive,@JetBlue offers hot tea and coffee...at the gate! You guys make me wonder why I have ever flown any other airlines! ☕✈👍
positive,@SouthwestAir has the best customer service!
neutral,@USAirways  can you help me out?
negative,@united Thanks...seat made for a 6 year old and a broken TV. 20 flights/year...my last on your airline.
negative,@AmericanAir @Cowboycerrone  ratchet airway!. ......
negative,@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery
neutral,@AmericanAir American Airlines.
neutral,Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”
neutral,@Jetblue I'm so sorry I cheated on you with @Delta @DeltaAssist. Please take me back. I wore protection.
neutral,@JetBlue i hate the internet lol
positive,@JetBlue Thanks! See you soon!
neutral,@united that's right- with an overnight Miami.
negative,@USAirways sitting on the Tarmac waiting to deplane 40+ minutes. The level of service I've come to expect.
negative,@AmericanAir my flight 386 to Dallas from Jacksonville fl has been Cancelled Flightled. No one has notified me. What's going on?
neutral,@JetBlue marks 15th birthday with 'Blumanity' paint job - @Dallas_News (blog) http://t.co/lFGR0Nifut
neutral,@SouthwestAir so was there a winner for #DestinationDragons ???
negative,@AmericanAir and just bad cs! I will be back on @JetBlue  at least when you stuck they look out for you and apologize for any trouble
negative,"@AmericanAir To announce DURING BOARDING that you chose to limit catering to the point that you WILL run out shows a lack of planning, IMO."
positive,@SouthwestAir A wonderfully nice agent in Austin helped us out. Wish I remembered her name to give proper kudos.
positive,"@USAirways Welcome to North Texas US Air / American Air employees. 
Housing and Education are great opportunities in The GR8 State Of Texas"
neutral,"@united Hi, can you email me here so i can share the details? Thanks. frank@postsecret.com"
negative,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
positive,@SouthwestAir thank you!
negative,@AmericanAir ok. There is no one at the airport that is helping us. Another customer got told the flight isn't leaving till 1220
negative,@JetBlue ..... No crew at our gate.
neutral,@USAirways you should update your passbook passes with any gate changes.
negative,@AmericanAir my travel for tomorrow was Cancelled Flightled and then stupidly rebooked for tomorrow! I can't get through to reservations!
positive,"@united New Apple crâpe, amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits, UA needs them 2 http://t.co/gZ9GqDT7Jj"
positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
negative,@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........
negative,"@united - 75% of a plane's passengers boarding in your ""Premier"" groups might be an indication of a broken process."
positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
negative,@JetBlue they tried to have us towed. Do you think I'll be flying out of your terminal again? Risk of $75 fine from corrupt police official
negative,@SouthwestAir I was trying to find airfare for my family.  Your prices are ridiculous!  Almost $1000 more than @USAirways. #notmadeofmoney
neutral,@JetBlue's CEO Battles to Appease Passengers and Wall Street - http://t.co/frrfxCCw7Z http://t.co/nKlW9SsVRQ
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
negative,@JetBlue Thanks for the THIRD gate change http://t.co/UfBdr5AxeO
positive,"@SouthwestAir Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA http://t.co/elhxUV0Uj1"
negative,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...
negative,"@united I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day"
negative,@AmericanAir I understand the weather issue but you can't expect passengers to wait 24 hours inside airports for whatever reason. Outrageous
negative,"@USAirways paid to upgrade to first class, went up to Admirals club at PHX airport to be turned away because our flight is to CUN and not MC"
negative,@united flight #1 no luck on #standby
positive,@VirginAmerica I love the dancing little richard. cool beans.
negative,"@SouthwestAir coming up on 10 hrs and all at the gate, not leaving and without my baggage. SWA you are my nightmare!"
negative,@AmericanAir Would it be ok to send you a DM asking a few questions because i'm deaf and been on hold so long?
negative,@united Love to report how horrible this flight is to your team. Let's make it worse...as they get to my seat...out of all snacks
negative,"@united no- we are boarding- but why can't your agents, on the phone, taking care of 1K travellers, link reservations?!?!!"
negative,"@USAirways That's 1h 10m waiting to get my bag, 1h40m of flight delays, plus the 2hrs of delay I had on the way out. Never flying you again."
negative,@USAirways more like USDELAY-ways. Another long 'paperwork' reLate Flightd delay - Friday in Charlotte. Today in Philly. #letsgoalready
negative,@USAirways 4420 delayed further?
negative,"@JetBlue Rats, that's a bummer!"
positive,@USAirways I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing
negative,"@AmericanAir please fix your inventory system, Plat upgraded then bumped DOWN after boarding, FA said they made a mistake. AA45 3A➡️8C 😕"
negative,"@AmericanAir you expect us to spend our hard earn $ to fly and make exceptions when you have extra call volume, however, you never make acpt"
negative,@USAirways flight #654 sitting at JFK with delays for 3-1/2 hrs! No employees to load bags? #terrible
negative,"@united And then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" #badservice"
negative,@SouthwestAir lost my sunglasses &amp; case on a flight 3933 last night - is there a lost &amp; found?
negative,@JetBlue Maybe stop telling people the wrong info on your customer service calls.
negative,@SouthwestAir #delayed again! You're killing me Late Flightly!
negative,@USAirways Really a letter that says you will discuss serving drunks more drinks that doesn't help the current situation
negative,@AmericanAir watch out if you are a parent...they break stroller &amp; tell you look at the fine print
negative,"@united if you're listening, why are you the lowest provider of inflight wifi? Get with the times!"
negative,@JetBlue by far the worst airline in terms of service at jfk.
positive,@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!
negative,@JetBlue You respond to complaints about cultural appropriation with more of it!?  You're  now below Spirit Airlines on my fly list.
positive,"@SouthwestAir - total win!! Happy 7th bday on intercom, chocoLate Flight kisses, and a chance to hand out snacks.Thank you. http://t.co/NKloZcNtto"
negative,@AmericanAir Any info for Cancelled Flightled flight 1046 tomorrow morning out of DFW? Can't get calls through to speak with anyone.
negative,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???"
negative,@united Gold Star for united- change my flight- miss all connections- but can't accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!
negative,@USAirways @Truthh4 they didn't give you the wifi password? Smh
neutral,@USAirways can you add my KTN to an existing reservation?
neutral,@USAirways @OBJ_3 even airlines are scheming to get a follow from OBJ LMAOOO 😂😂😂😂
negative,“@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JP” what's the point of membership?
negative,"@AmericanAir I've been on hold for 4 hrs, no call bk either. Family of 4 trying to get from HDN to DFW flight 1418 direct. Need new info plz"
negative,@united smiling? NOT!!
negative,"@americanair hi, you Cancelled Flightled our flight back to the US and now won't take our call. What are we supposed to do?"
neutral,"@SouthwestAir is now recruiting for Fall 15, Spring 16 Internships. 
2/23/15, 5- 6pm @JindalCMC Davidson Auditorium(1.118) #JSOM #UTDallas"
negative,@USAirways you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly.
negative,@USAirways 325 minute delay - this is absurd. Feel free to provide credits... http://t.co/e09keJ9bv1
negative,@USAirways I was on hold for 2 hours and still no answer. Is this really how you run your business? http://t.co/P8xFhq4kps
positive,@JetBlue of course !!!!
negative,@USAirways 4097 DCA to BNA. Just told they need to do 1.5 hrs worth of maintenance. Was supposed to leave at 8:50 am. [sigh]
negative,"@USAirways I been sitting on this plane for 40 minutes, and they are saying another 15 minutes something about paper work. This sucks !!"
negative,@AmericanAir @TheNateK I submitted a complaint via that link in Dec. &amp; followed up in Jan. NEVER HEARD BACK! #badcustomerservice
negative,"Yes, and it gets disconnected due to the lack of WIFI strength “@AmericanAir: @MauererPower Have you reached out to @Gogo for help, David?”"
negative,@USAirways I did not want to hang out on your plane all day when I am traveling to get work done and turn right back around. Unacceptable
positive,@united he is so excellent and so reliable :) #happycustomer
negative,@USAirways Trying to change my flight due to NYC travel advisory... your online system Cancelled Flighted my entire flight. Been on hold for over 1 hr
neutral,@americanair Yes to the iOS. I'm running iOS 8.1.3
negative,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(
negative,@SouthwestAir = easy and pleasant. @united = difficult and stressful. Learned my lesson.
neutral,@SouthwestAir I never got my flight confirmation. I've been on hold for an hour and I can't get info online. What am I to do?
neutral,@SouthwestAir when are the two free flights promo coming back?! Looking into the premiere card but might hold off or go with another option!
negative,"@AmericanAir Last thing I want to deal w/ before 8 on a Mon! I've already waited the suggested wait time, so I hope I get a call back ASAP."
negative,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12
negative,@united the nightmare continues... http://t.co/TsvgbrL15f
negative,@united flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other
negative,@USAirways I did. They told me it was a 40 min wait &amp; they'd call back. It's already been 45 min. Horrible
negative,"@AmericanAir yes, for tomorrow at 9 am. But I have to work though 😒 I'm really mad about the situation"
